queue	lemma	cltk_upos	corpus_occurrences_upper_bound	pilot_lemma_occurrences	pilot_document_count	contributing_form_count	ambiguous_form_count	dictionary_support	dictionary_sources	dictionary_entry_count	pos_assessment	also_in_structural_stage	top_forms
common_lexeme	quidam	DET	859	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""latin-german"",""ls_dict""]"	5	unknown	True	"[{""form"":""quendam"",""corpus_occurrences"":859,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	specus	NOUN	162	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""latin-german"",""ls_dict""]"	4	compatible	False	"[{""form"":""specus"",""corpus_occurrences"":162,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	tas	X	75	2	2	1	0	single_source	"[""gaffiot""]"	1	unknown	False	"[{""form"":""tas"",""corpus_occurrences"":75,""pilot_occurrences"":2,""ambiguous_cltk_lemma"":false}]"
common_lexeme	iudicium	NOUN	54	2	2	1	0	corroborated_independent	"[""faria-v2-retificado"",""latin-german""]"	2	compatible	False	"[{""form"":""iudic"",""corpus_occurrences"":54,""pilot_occurrences"":2,""ambiguous_cltk_lemma"":false}]"
common_lexeme	fuo	VERB	42	2	2	2	0	single_source	"[""ls_dict""]"	1	unknown	False	"[{""form"":""fuat"",""corpus_occurrences"":25,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false},{""form"":""fu"",""corpus_occurrences"":17,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	ibus	NOUN	14	1	1	1	0	single_source	"[""ls_dict""]"	1	unknown	False	"[{""form"":""ibus"",""corpus_occurrences"":14,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	ens	NOUN	13	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""gaffiot"",""latin-german"",""ls_dict""]"	7	compatible	False	"[{""form"":""ent"",""corpus_occurrences"":13,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	eo	VERB	12	3	3	3	0	corroborated_independent	"[""faria-v2-retificado"",""latin-german"",""ls_dict""]"	11	compatible	False	"[{""form"":""ele"",""corpus_occurrences"":5,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false},{""form"":""etia"",""corpus_occurrences"":4,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false},{""form"":""buz"",""corpus_occurrences"":3,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	tia	NOUN	11	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""gaffiot""]"	2	compatible	False	"[{""form"":""tia"",""corpus_occurrences"":11,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	cedo	VERB	9	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""latin-german"",""ls_dict""]"	7	compatible	False	"[{""form"":""ces"",""corpus_occurrences"":9,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
common_lexeme	suo	VERB	9	1	1	1	0	corroborated_independent	"[""faria-v2-retificado"",""latin-german"",""ls_dict""]"	3	compatible	False	"[{""form"":""sti"",""corpus_occurrences"":9,""pilot_occurrences"":1,""ambiguous_cltk_lemma"":false}]"
